,Population ,Single Family,Townhouse,Condo/Co-op,Multi Family,  
,N(%),n(%),n(%),n(%),n(%),
Variable,(N = 100),(n = 48),(n = 10),(n = 38),(n = 4),P-Value*
Year Built,,,,,,<.0001
1911-1932 (1),13 (13%),8 (17%),0 (0%),1 (3%),4 (100%),
1933-1954 (2),15 (15%),15 (31%),0 (0%),0 (0%),0 (0%),
1955-1976 (3),19 (19%),6 (13%),0 (0%),13 (34%),0 (0%),
1977-1998 (4),27 (27%),10 (21%),5 (50%),12 (32%),0 (0%),
1999-2020 (5),26 (26%),9 (19%),5 (50%),12 (32%),0 (0%),
Bedrooms,,,,,,<.0001
0-1 bedrooms (1),12 (12%),0 (0%),0 (0%),12 (32%),0 (0%),
2 bedrooms (2),32 (32%),8 (17%),5 (50%),18 (47%),1 (25%),
3 bedrooms (3),31 (31%),22 (46%),3 (30%),6 (16%),0 (0%),
4 or more bedrooms (4),25 (25%),18 (38%),2 (20%),2 (5%),3 (75%),
HOA,,,,,,<.0001
Yes (1),56 (56%),9 (19%),9 (90%),38 (100%),0 (0%),
No (0),44 (44%),39 (81%),1 (10%),0 (0%),4 (100%),
Region in Los Angeles County,,,,,,<.0001
Antelope Valley (1),1 (1%),1 (2%),0 (0%),0 (0%),0 (0%),
Los Angeles (city of) (2),22 (22%),9 (19%),0 (0%),10 (26%),3 (75%),
San Fernando Valley (3),18 (18%),7 (15%),3 (30%),8 (21%),0 (0%),
San Gabriel Valley (4),13 (13%),9 (19%),1 (10%),3 (8%),0 (0%),
Santa Clarita (5),10 (10%),8 (17%),1 (10%),1 (3%),0 (0%),
South Bay (6),12 (12%),6 (13%),2 (20%),4 (11%),0 (0%),
South Los Angeles (7),1 (1%),1 (2%),0 (0%),0 (0%),0 (0%),
Southeast Los Angeles (8),4 (4%),3 (6%),1 (10%),0 (0%),0 (0%),
West Hollywood (9),4 (4%),0 (0%),0 (0%),4 (11%),0 (0%),
West Los Angeles (10),15 (15%),4 (8%),2 (20%),8 (21%),1 (25%),
*P-values based on Pearson chi-square test of association.,,,,,,
